Date,Month,Hour,dewpt,heatindex,humidity,temp,Humidity previous
1,11,11,9,,27,30,
1,11,12,10,,32,28,
1,11,13,11,,44,24,
1,11,14,10,,41,24,
1,11,16,11,,47,23,
1,11,17,12,,56,21,
1,11,18,13,,60,21,
1,11,19,13,,60,21,
1,11,20,13,,68,19,
1,11,21,13,,68,19,
1,11,22,13,,68,19,
1,11,23,12,,64,19,
2,11,0,11,,60,19,
2,11,1,11,,60,19,
2,11,2,10,,52,20,
2,11,3,10,,46,22,
2,11,4,10,,44,23,
2,11,5,11,,39,26,
2,11,6,10,,32,28,
2,11,7,10,,29,30,
2,11,8,8,,24,31,
2,11,9,7,,22,31,
2,11,10,7,,22,31,
2,11,11,8,,25,30,
2,11,12,10,,34,27,
2,11,13,11,,41,25,
2,11,14,12,,53,22,
2,11,15,12,,56,21,
2,11,16,12,,64,19,
2,11,17,12,,60,20,
2,11,18,12,,64,19,
2,11,19,11,,60,19,
2,11,20,11,,68,17,
2,11,21,11,,68,17,
2,11,22,12,,72,17,
2,11,23,12,,72,17,
3,11,0,11,,68,17,
3,11,1,11,,72,16,
3,11,2,10,,63,17,
3,11,3,12,,64,19,
3,11,4,12,,53,22,
3,11,5,14,,60,22,
3,11,6,13,,44,26,
3,11,7,9,,30,28,
3,11,8,11,,35,28,
3,11,9,11,,33,29,
3,11,10,11,,33,29,
3,11,11,12,26.8,39,27,
3,11,12,12,,42,26,
3,11,13,14,,60,22,
3,11,14,13,,57,22,
3,11,15,13,,60,21,
3,11,16,12,,56,21,26.8
3,11,17,13,,64,20,
3,11,18,12,,60,20,
3,11,19,12,,64,19,
3,11,20,13,,68,19,
3,11,21,12,,64,19,
3,11,22,13,,77,17,
3,11,23,13,,77,17,
4,11,0,12,,68,18,
4,11,1,11,,77,15,
4,11,2,11,,68,17,
4,11,3,12,,60,20,
4,11,5,12,,42,26,
4,11,6,12,27.5,37,28,
4,11,7,10,,32,28,
4,11,8,8,,27,29,
4,11,9,9,,29,29,
4,11,10,7,,25,29,
4,11,11,10,,34,27,27.5
4,11,12,10,,39,25,
4,11,13,10,,44,23,
4,11,16,9,,46,21,
4,11,17,9,,46,21,
4,11,18,10,,59,18,
4,11,19,11,,64,18,
4,11,21,11,,68,17,
5,11,4,9,,38,24,
5,11,5,9,,34,26,
5,11,6,8,,27,29,
5,11,7,7,,23,30,
5,11,8,8,,25,30,
6,11,7,9,,30,28,
6,11,8,7,,25,29,
6,11,9,8,,27,29,
6,11,10,5,,22,29,
6,11,11,7,,26,28,
6,11,12,7,,32,25,
6,11,13,8,,36,24,
6,11,14,10,,52,20,
