Date,Month,Hour,Time,dewpt,humidity,rain,thunder,rain previous
1,11,11,11:00,9,27,0,0,0
1,11,12,12:00,10,32,0,0,0
1,11,13,13:00,11,44,0,0,0
1,11,14,14:00,10,41,0,0,0
1,11,16,16:00,11,47,0,0,0
1,11,17,17:00,12,56,0,0,0
1,11,18,18:00,13,60,0,0,0
1,11,19,19:00,13,60,0,0,0
1,11,20,20:00,13,68,0,0,0
1,11,21,21:00,13,68,0,0,0
1,11,22,22:00,13,68,0,0,0
1,11,23,23:00,12,64,0,0,0
2,11,0,00:00,11,60,0,0,0
2,11,1,01:00,11,60,0,0,0
2,11,2,02:00,10,52,0,0,0
2,11,3,03:00,10,46,0,0,0
2,11,4,04:00,10,44,0,0,0
2,11,5,05:00,11,39,0,0,0
2,11,6,06:00,10,32,0,0,0
2,11,7,07:00,10,29,0,0,0
2,11,8,08:00,8,24,0,0,0
2,11,9,09:00,7,22,0,0,0
2,11,10,10:00,7,22,0,0,0
2,11,11,11:00,8,25,0,0,0
2,11,12,12:00,10,34,0,0,0
2,11,13,13:00,11,41,0,0,0
2,11,14,14:00,12,53,0,0,0
2,11,15,15:00,12,56,0,0,0
2,11,16,16:00,12,64,0,0,0
2,11,17,17:00,12,60,0,0,0
2,11,18,18:00,12,64,0,0,0
2,11,19,19:00,11,60,0,0,0
2,11,20,20:00,11,68,0,0,0
2,11,21,21:00,11,68,0,0,0
2,11,22,22:00,12,72,0,0,0
2,11,23,23:00,12,72,0,0,0
3,11,0,00:00,11,68,0,0,0
3,11,1,01:00,11,72,0,0,0
3,11,2,02:00,10,63,0,0,0
3,11,3,03:00,12,64,0,0,0
3,11,4,04:00,12,53,0,0,0
3,11,5,05:00,14,60,0,0,0
3,11,6,06:00,13,44,0,0,0
3,11,7,07:00,9,30,0,0,0
3,11,8,08:00,11,35,0,0,0
3,11,9,09:00,11,33,0,0,0
3,11,10,10:00,11,33,0,0,0
3,11,11,11:00,12,39,0,0,0
3,11,12,12:00,12,42,0,0,0
3,11,13,13:00,14,60,0,0,0
3,11,14,14:00,13,57,0,0,0
3,11,15,15:00,13,60,0,0,0
3,11,16,16:00,12,56,0,0,0
3,11,17,17:00,13,64,0,0,0
3,11,18,18:00,12,60,0,0,0
3,11,19,19:00,12,64,0,0,0
3,11,20,20:00,13,68,0,0,0
3,11,21,21:00,12,64,0,0,0
3,11,22,22:00,13,77,0,0,0
3,11,23,23:00,13,77,0,0,0
4,11,0,00:00,12,68,0,0,0
4,11,1,01:00,11,77,0,0,0
4,11,2,02:00,11,68,0,0,0
4,11,3,03:00,12,60,0,0,0
4,11,5,05:00,12,42,0,0,0
4,11,6,06:00,12,37,0,0,0
4,11,7,07:00,10,32,0,0,0
4,11,8,08:00,8,27,0,0,0
4,11,9,09:00,9,29,0,0,0
4,11,10,10:00,7,25,0,0,0
4,11,11,11:00,10,34,0,0,0
4,11,12,12:00,10,39,0,0,0
4,11,13,13:00,10,44,0,0,0
4,11,16,16:00,9,46,0,0,0
4,11,17,17:00,9,46,0,0,0
4,11,18,18:00,10,59,0,0,0
4,11,19,19:00,11,64,0,0,0
4,11,21,21:00,11,68,0,0,0
5,11,4,04:00,9,38,0,0,0
5,11,5,05:00,9,34,0,0,0
5,11,6,06:00,8,27,0,0,0
5,11,7,07:00,7,23,0,0,0
5,11,8,08:00,8,25,0,0,0
6,11,7,07:00,9,30,0,0,0
6,11,8,08:00,7,25,0,0,0
6,11,9,09:00,8,27,0,0,0
6,11,10,10:00,5,22,0,0,0
6,11,11,11:00,7,26,0,0,0
6,11,12,12:00,7,32,0,0,0
6,11,13,13:00,8,36,0,0,0
6,11,14,14:00,10,52,0,0,0
6,11,15,15:00,10,56,0,0,0
6,11,17,17:00,10,56,0,0,0
6,11,18,18:00,10,56,0,0,0
6,11,19,19:00,10,59,0,0,0
6,11,20,20:00,11,68,0,0,0
6,11,21,21:00,11,72,0,0,0
6,11,22,22:00,11,72,0,0,0
6,11,23,23:00,11,77,0,0,0
7,11,0,00:00,11,77,0,0,0
7,11,1,01:00,11,68,0,0,0
7,11,2,02:00,10,59,0,0,0
7,11,3,03:00,12,64,0,0,0
7,11,4,04:00,13,53,0,0,0
7,11,5,05:00,13,47,0,0,0
7,11,6,06:00,11,37,0,0,0
7,11,7,07:00,11,33,0,0,0
7,11,8,08:00,8,27,0,0,0
7,11,9,09:00,8,25,0,0,0
7,11,10,10:00,7,23,0,0,0
7,11,11,11:00,7,25,0,0,0
7,11,12,12:00,9,36,0,0,0
7,11,13,13:00,9,38,0,0,0
7,11,14,14:00,10,46,0,0,0
7,11,15,15:00,9,49,0,0,0
7,11,16,16:00,9,52,0,0,0
7,11,17,17:00,9,52,0,0,0
7,11,18,18:00,8,49,0,0,0
7,11,19,19:00,8,52,0,0,0
7,11,20,20:00,9,59,0,0,0
7,11,21,21:00,9,59,0,0,0
7,11,22,22:00,8,59,0,0,0
7,11,23,23:00,8,63,0,0,0
8,11,0,00:00,7,59,0,0,0
8,11,1,01:00,,N/A,0,0,0
8,11,2,02:00,8,59,0,0,0
8,11,3,03:00,7,49,0,0,0
8,11,4,04:00,9,46,0,0,0
8,11,5,05:00,9,38,0,0,0
8,11,6,06:00,9,32,0,0,0
8,11,7,07:00,5,23,0,0,0
8,11,8,08:00,6,23,0,0,0
8,11,9,09:00,6,23,0,0,0
8,11,10,10:00,6,25,0,0,0
8,11,11,11:00,6,26,0,0,0
8,11,12,12:00,9,41,0,0,0
8,11,13,13:00,9,46,0,0,0
8,11,14,14:00,10,49,0,0,0
8,11,15,15:00,9,49,0,0,0
8,11,16,16:00,9,49,0,0,0
8,11,17,17:00,10,56,0,0,0
8,11,18,18:00,9,52,0,0,0
8,11,19,19:00,10,59,0,0,0
8,11,20,20:00,9,59,0,0,0
8,11,21,21:00,9,59,0,0,0
8,11,22,22:00,8,59,0,0,0
8,11,23,23:00,8,59,0,0,0
9,11,0,00:00,7,55,0,0,0
9,11,1,01:00,7,59,0,0,0
9,11,2,02:00,6,52,0,0,0
9,11,3,03:00,7,49,0,0,0
9,11,4,04:00,9,46,0,0,0
9,11,5,05:00,9,38,0,0,0
9,11,7,07:00,7,28,0,0,0
9,11,8,08:00,8,28,0,0,0
9,11,9,09:00,7,26,0,0,0
9,11,11,11:00,8,30,0,0,0
9,11,12,12:00,7,32,0,0,0
9,11,13,13:00,8,43,0,0,0
9,11,14,14:00,8,46,0,0,0
9,11,15,15:00,9,52,0,0,0
9,11,16,16:00,9,52,0,0,0
9,11,17,17:00,9,56,0,0,0
9,11,18,18:00,8,55,0,0,0
9,11,19,19:00,8,55,0,0,0
9,11,20,20:00,8,55,0,0,0
9,11,21,21:00,8,63,0,0,0
9,11,22,22:00,7,59,0,0,0
9,11,23,23:00,7,59,0,0,0
10,11,0,00:00,7,63,0,0,0
10,11,1,01:00,7,63,0,0,0
10,11,2,02:00,7,59,0,0,0
10,11,3,03:00,7,49,0,0,0
10,11,4,04:00,8,41,0,0,0
10,11,5,05:00,8,36,0,0,0
10,11,6,06:00,7,30,0,0,0
10,11,7,07:00,6,25,0,0,0
10,11,8,08:00,5,22,0,0,0
10,11,9,09:00,4,20,0,0,0
10,11,10,10:00,4,20,0,0,0
10,11,11,11:00,5,24,0,0,0
10,11,12,12:00,6,33,0,0,0
10,11,13,13:00,7,40,0,0,0
10,11,15,15:00,9,56,0,0,0
10,11,16,16:00,8,49,0,0,0
10,11,18,18:00,7,49,0,0,0
10,11,19,19:00,6,48,0,0,0
10,11,20,20:00,7,55,0,0,0
10,11,21,21:00,7,59,0,0,0
10,11,22,22:00,8,67,0,0,0
10,11,23,23:00,7,63,0,0,0
11,11,0,00:00,7,63,0,0,0
11,11,1,01:00,7,59,0,0,0
11,11,2,02:00,7,49,0,0,0
