Date,Month,Hour,Time,heatindex,humidity,rain,temp,temp previous
1,11,11,11:00,,27,0,30,25
1,11,12,12:00,,32,0,28,26
1,11,13,13:00,,44,0,24,26
1,11,14,14:00,,41,0,24,28
1,11,16,16:00,,47,0,23,29
1,11,17,17:00,,56,0,21,30
1,11,18,18:00,,60,0,21,28
1,11,19,19:00,,60,0,21,24
1,11,20,20:00,,68,0,19,24
1,11,21,21:00,,68,0,19,23
1,11,22,22:00,,68,0,19,21
1,11,23,23:00,,64,0,19,21
2,11,0,00:00,,60,0,19,21
2,11,1,01:00,,60,0,19,19
2,11,2,02:00,,52,0,20,19
2,11,3,03:00,,46,0,22,19
2,11,4,04:00,,44,0,23,19
2,11,5,05:00,,39,0,26,19
2,11,6,06:00,,32,0,28,19
2,11,7,07:00,,29,0,30,20
2,11,8,08:00,,24,0,31,22
2,11,9,09:00,,22,0,31,23
2,11,10,10:00,,22,0,31,26
2,11,11,11:00,,25,0,30,28
2,11,12,12:00,,34,0,27,30
2,11,13,13:00,,41,0,25,31
2,11,14,14:00,,53,0,22,31
2,11,15,15:00,,56,0,21,31
2,11,16,16:00,,64,0,19,30
2,11,17,17:00,,60,0,20,27
2,11,18,18:00,,64,0,19,25
2,11,19,19:00,,60,0,19,22
2,11,20,20:00,,68,0,17,21
2,11,21,21:00,,68,0,17,19
2,11,22,22:00,,72,0,17,20
2,11,23,23:00,,72,0,17,19
3,11,0,00:00,,68,0,17,19
3,11,1,01:00,,72,0,16,17
3,11,2,02:00,,63,0,17,17
3,11,3,03:00,,64,0,19,17
3,11,4,04:00,,53,0,22,17
3,11,5,05:00,,60,0,22,17
3,11,6,06:00,,44,0,26,16
3,11,7,07:00,,30,0,28,17
3,11,8,08:00,,35,0,28,19
3,11,9,09:00,,33,0,29,22
3,11,10,10:00,,33,0,29,22
3,11,11,11:00,26.8,39,0,27,26
3,11,12,12:00,,42,0,26,28
3,11,13,13:00,,60,0,22,28
3,11,14,14:00,,57,0,22,29
3,11,15,15:00,,60,0,21,29
3,11,16,16:00,,56,0,21,27
3,11,17,17:00,,64,0,20,26
3,11,18,18:00,,60,0,20,22
3,11,19,19:00,,64,0,19,22
3,11,20,20:00,,68,0,19,21
3,11,21,21:00,,64,0,19,21
3,11,22,22:00,,77,0,17,20
3,11,23,23:00,,77,0,17,20
4,11,0,00:00,,68,0,18,19
4,11,1,01:00,,77,0,15,19
4,11,2,02:00,,68,0,17,19
4,11,3,03:00,,60,0,20,17
4,11,5,05:00,,42,0,26,17
4,11,6,06:00,27.5,37,0,28,18
4,11,7,07:00,,32,0,28,15
4,11,8,08:00,,27,0,29,17
4,11,9,09:00,,29,0,29,20
4,11,10,10:00,,25,0,29,26
4,11,11,11:00,,34,0,27,28
4,11,12,12:00,,39,0,25,28
4,11,13,13:00,,44,0,23,29
4,11,16,16:00,,46,0,21,29
4,11,17,17:00,,46,0,21,29
4,11,18,18:00,,59,0,18,27
4,11,19,19:00,,64,0,18,25
4,11,21,21:00,,68,0,17,23
5,11,4,04:00,,38,0,24,21
5,11,5,05:00,,34,0,26,21
5,11,6,06:00,,27,0,29,18
5,11,7,07:00,,23,0,30,18
5,11,8,08:00,,25,0,30,17
6,11,7,07:00,,30,0,28,24
6,11,8,08:00,,25,0,29,26
6,11,9,09:00,,27,0,29,29
6,11,10,10:00,,22,0,29,30
6,11,11,11:00,,26,0,28,30
6,11,12,12:00,,32,0,25,28
6,11,13,13:00,,36,0,24,29
6,11,14,14:00,,52,0,20,29
6,11,15,15:00,,56,0,19,29
6,11,17,17:00,,56,0,19,28
6,11,18,18:00,,56,0,19,25
6,11,19,19:00,,59,0,18,24
6,11,20,20:00,,68,0,17,20
6,11,21,21:00,,72,0,16,19
6,11,22,22:00,,72,0,16,19
6,11,23,23:00,,77,0,15,19
7,11,0,00:00,,77,0,15,18
7,11,1,01:00,,68,0,17,17
7,11,2,02:00,,59,0,18,16
7,11,3,03:00,,64,0,19,16
7,11,4,04:00,,53,0,23,15
7,11,5,05:00,,47,0,25,15
7,11,6,06:00,,37,0,27,17
7,11,7,07:00,,33,0,29,18
7,11,8,08:00,,27,0,29,19
7,11,9,09:00,,25,0,30,23
7,11,10,10:00,,23,0,30,25
7,11,11,11:00,,25,0,29,27
7,11,12,12:00,,36,0,25,29
7,11,13,13:00,,38,0,24,29
7,11,14,14:00,,46,0,22,30
7,11,15,15:00,,49,0,20,30
7,11,16,16:00,,52,0,19,29
7,11,17,17:00,,52,0,19,25
7,11,18,18:00,,49,0,19,24
7,11,19,19:00,,52,0,18,22
7,11,20,20:00,,59,0,17,20
7,11,21,21:00,,59,0,17,19
7,11,22,22:00,,59,0,16,19
7,11,23,23:00,,63,0,15,19
8,11,0,00:00,,59,0,15,18
8,11,1,01:00,,N/A,0,,17
8,11,2,02:00,,59,0,16,17
8,11,3,03:00,,49,0,18,16
8,11,4,04:00,,46,0,21,15
8,11,5,05:00,,38,0,24,15
8,11,6,06:00,,32,0,27,
8,11,7,07:00,,23,0,28,16
8,11,8,08:00,,23,0,29,18
8,11,9,09:00,,23,0,29,21
8,11,10,10:00,,25,0,28,24
8,11,11,11:00,,26,0,27,27
8,11,12,12:00,,41,0,23,28
8,11,13,13:00,,46,0,21,29
8,11,14,14:00,,49,0,21,29
8,11,15,15:00,,49,0,20,28
8,11,16,16:00,,49,0,20,27
8,11,17,17:00,,56,0,19,23
8,11,18,18:00,,52,0,19,21
8,11,19,19:00,,59,0,18,21
8,11,20,20:00,,59,0,17,20
8,11,21,21:00,,59,0,17,20
8,11,22,22:00,,59,0,16,19
8,11,23,23:00,,59,0,16,19
9,11,0,00:00,,55,0,16,18
9,11,1,01:00,,59,0,15,17
9,11,2,02:00,,52,0,16,17
9,11,3,03:00,,49,0,18,16
9,11,4,04:00,,46,0,21,16
9,11,5,05:00,,38,0,24,16
9,11,7,07:00,,28,0,27,15
9,11,8,08:00,,28,0,28,16
9,11,9,09:00,,26,0,28,18
9,11,11,11:00,,30,0,27,21
9,11,12,12:00,,32,0,25,24
9,11,13,13:00,,43,0,21,27
9,11,14,14:00,,46,0,20,28
9,11,15,15:00,,52,0,19,28
9,11,16,16:00,,52,0,19,27
9,11,17,17:00,,56,0,18,25
9,11,18,18:00,,55,0,17,21
9,11,19,19:00,,55,0,17,20
9,11,20,20:00,,55,0,17,19
9,11,21,21:00,,63,0,15,19
9,11,22,22:00,,59,0,15,18
9,11,23,23:00,,59,0,15,17
10,11,0,00:00,,63,0,14,17
10,11,1,01:00,,63,0,14,17
10,11,2,02:00,,59,0,15,15
10,11,3,03:00,,49,0,18,15
10,11,4,04:00,,41,0,22,15
10,11,5,05:00,,36,0,24,14
10,11,6,06:00,,30,0,26,14
10,11,7,07:00,,25,0,28,15
10,11,8,08:00,,22,0,29,18
10,11,9,09:00,,20,0,29,22
10,11,10,10:00,,20,0,29,24
10,11,11,11:00,,24,0,27,26
10,11,12,12:00,,33,0,23,28
10,11,13,13:00,,40,0,21,29
10,11,15,15:00,,56,0,18,29
10,11,16,16:00,,49,0,19,29
10,11,18,18:00,,49,0,18,27
10,11,19,19:00,,48,0,17,23
10,11,20,20:00,,55,0,16,21
10,11,21,21:00,,59,0,15,18
10,11,22,22:00,,67,0,14,19
10,11,23,23:00,,63,0,14,18
11,11,0,00:00,,63,0,14,17
11,11,1,01:00,,59,0,15,16
11,11,2,02:00,,49,0,18,15
11,11,3,03:00,,40,0,19,14
11,11,4,04:00,,34,0,24,14
11,11,5,05:00,,28,0,27,14
11,11,6,06:00,,21,0,28,15
11,11,7,07:00,,20,0,29,18
11,11,8,08:00,,17,0,30,19
11,11,9,09:00,,17,0,28,24
11,11,10,10:00,,18,0,29,27
11,11,11,11:00,,23,0,28,28
11,11,12,12:00,,34,0,24,29
11,11,13,13:00,,36,0,23,30
11,11,14,14:00,,38,0,22,28
11,11,15,15:00,,43,0,20,29
11,11,16,16:00,,40,0,20,28
11,11,17,17:00,,37,0,20,24
11,11,18,18:00,,43,0,19,23
11,11,19,19:00,,37,0,20,22
11,11,20,20:00,,49,0,18,20
11,11,21,21:00,,59,0,17,20
11,11,22,22:00,,63,0,16,20
12,11,0,00:00,,63,0,16,19
12,11,1,01:00,,55,0,16,20
12,11,2,02:00,,38,0,21,18
12,11,3,03:00,,31,0,24,17
12,11,4,04:00,,28,0,26,16
12,11,5,05:00,,23,0,28,16
12,11,6,06:00,,20,0,30,16
12,11,7,07:00,,19,0,30,21
12,11,8,08:00,,18,0,31,24
12,11,9,09:00,,19,0,31,26
12,11,10,10:00,,20,0,30,28
12,11,11,11:21,,25,0,28,30
12,11,12,12:00,,34,0,25,30
12,11,13,13:00,,36,0,24,31
12,11,14,14:00,,38,0,23,31
12,11,15,15:00,,38,0,22,30
12,11,16,16:00,,41,0,22,28
12,11,17,17:00,,49,0,21,25
12,11,18,18:00,,49,0,21,24
12,11,19,19:00,,56,0,19,23
12,11,20,20:00,,52,0,20,22
12,11,21,21:00,,52,0,20,22
12,11,22,22:00,,68,0,18,21
12,11,23,23:00,,72,0,17,21
13,11,0,00:00,,68,0,17,19
13,11,1,01:00,,60,0,19,20
13,11,2,02:00,,N/A,0,,20
13,11,3,03:00,,56,0,21,18
13,11,4,04:00,,44,0,25,17
13,11,5,05:00,,41,0,25,17
13,11,6,06:00,,39,0,26,19
13,11,7,07:00,,32,0,28,
13,11,8,08:00,,23,0,34,21
13,11,9,09:00,27.5,37,0,28,25
13,11,10,10:00,,35,0,28,25
13,11,11,11:00,27,42,0,27,26
13,11,12,12:00,,47,0,25,28
13,11,13,13:00,,57,0,23,34
13,11,14,14:00,,57,0,22,28
13,11,15,15:00,,60,0,21,28
13,11,17,17:00,,60,0,21,27
13,11,18,18:00,,60,0,21,25
13,11,19,19:00,,64,0,20,23
13,11,20,20:00,,64,0,19,22
13,11,21,21:00,,64,0,21,21
13,11,22,22:00,,53,0,23,21
13,11,23,23:00,,64,0,20,21
14,11,0,00:00,,64,0,20,20
14,11,1,01:00,,60,0,21,19
14,11,4,04:00,,57,0,22,21
14,11,5,05:00,,36,0,25,23
14,11,6,06:00,,36,0,26,20
14,11,7,07:00,,32,0,27,20
14,11,8,08:00,,25,0,28,21
14,11,9,09:00,,26,0,28,22
14,11,10,10:00,,25,0,28,25
14,11,11,11:00,,26,0,27,26
14,11,12,12:00,,36,0,24,27
14,11,13,13:00,,43,0,21,28
14,11,14,14:00,,49,0,19,28
14,11,15,15:00,,52,0,19,28
14,11,20,20:00,,59,0,16,27
14,11,21,21:00,,63,0,15,24
14,11,22,22:00,,67,0,14,21
14,11,23,23:00,,67,0,14,19
15,11,0,00:00,,67,0,14,19
15,11,1,01:00,,63,0,14,16
15,11,3,03:00,,59,0,15,15
15,11,5,05:00,,41,0,22,14
15,11,6,06:00,,38,0,23,14
15,11,7,07:00,,36,0,25,14
15,11,8,08:00,,26,0,26,14
15,11,11,11:00,,29,0,24,15
15,11,12,12:00,,38,0,22,22
15,11,13,13:00,,52,0,19,23
15,11,16,16:00,,59,0,17,25
15,11,17,17:00,,59,0,16,26
15,11,18,18:00,,63,0,15,24
15,11,19,19:00,,63,0,14,22
15,11,20,20:00,,63,0,14,19
15,11,21,21:00,,67,0,13,17
15,11,22,22:00,,72,0,12,16
15,11,23,23:00,,67,0,12,15
16,11,0,00:00,,67,0,11,14
16,11,1,01:00,,62,0,11,14
16,11,2,02:00,,58,0,12,13
16,11,3,03:00,,45,0,15,12
16,11,4,04:00,,39,0,17,12
16,11,5,05:00,,32,0,19,11
16,11,6,06:00,,N/A,0,,11
16,11,7,07:00,,19,0,24,12
16,11,8,08:00,,19,0,25,15
16,11,9,09:00,,21,0,25,17
16,11,10,10:00,,21,0,25,19
16,11,11,11:00,,23,0,23,
16,11,12,12:00,,27,0,22,24
16,11,13,13:00,,39,0,17,25
16,11,14,14:00,,42,0,17,25
16,11,15,15:00,,37,0,17,25
16,11,16,16:00,,39,0,16,23
16,11,17,17:00,,42,0,15,22
16,11,18,18:00,,44,0,14,17
16,11,19,19:00,,44,0,14,17
16,11,21,21:00,,58,0,11,17
16,11,22,22:00,,58,0,11,16
17,11,0,00:00,,58,0,10,15
17,11,1,01:00,,62,0,11,14
17,11,2,02:00,,58,0,11,14
17,11,3,03:00,,44,0,14,11
17,11,4,04:00,,37,0,18,11
17,11,5,05:00,,31,0,21,10
17,11,6,06:00,,27,0,23,11
17,11,7,07:00,,19,0,25,11
17,11,8,08:00,,19,0,25,14
17,11,9,09:00,,17,0,26,18
17,11,10,10:00,,18,0,25,21
17,11,11,11:00,,22,0,24,23
17,11,12,12:00,,27,0,22,25
17,11,13,13:00,,37,0,18,25
17,11,14,14:00,,45,0,17,26
17,11,15,15:00,,42,0,17,25
17,11,16,16:00,,39,0,17,24
17,11,17,17:00,,42,0,16,22
17,11,18,18:00,,59,0,14,18
17,11,19,19:00,,55,0,14,17
17,11,20,20:00,,51,0,14,17
17,11,21,21:00,,58,0,13,17
17,11,22,22:00,,62,0,12,16
17,11,23,23:00,,58,0,12,14
18,11,0,00:00,,51,0,13,14
18,11,1,01:00,,51,0,13,14
18,11,2,02:00,,39,0,15,13
18,11,3,03:00,,39,0,17,12
18,11,4,04:00,,29,0,22,12
18,11,5,05:00,,22,0,25,13
18,11,10,10:00,,16,0,28,13
18,11,11,11:00,,28,0,25,15
18,11,12,12:00,,38,0,21,17
18,11,13,13:00,,38,0,21,22
18,11,14,14:00,,40,0,20,25
18,11,15,15:00,,37,0,19,28
18,11,16,16:00,,40,0,18,25
18,11,17,17:00,,42,0,17,21
18,11,18,18:00,,45,0,16,21
18,11,19,19:00,,42,0,17,20
18,11,21,21:00,,51,0,15,19
18,11,22,22:00,,52,0,17,18
18,11,23,23:00,,45,0,15,17
19,11,0,00:00,,42,0,16,16
19,11,1,01:00,,42,0,16,17
19,11,2,02:00,,39,0,17,15
19,11,3,03:00,,35,0,19,17
19,11,4,04:00,,37,0,20,15
19,11,5,05:00,,25,0,24,16
19,11,6,06:00,,24,0,24,16
19,11,7,07:00,,28,0,25,17
19,11,8,08:00,,24,0,25,19
19,11,9,09:00,,26,0,25,20
19,11,10,10:00,,24,0,25,24
19,11,11,11:00,,33,0,23,24
19,11,12,12:00,,40,0,19,25
19,11,13,13:00,,52,0,17,25
19,11,15,15:00,,55,0,17,25
19,11,16,16:00,,63,0,16,25
19,11,17,17:00,,59,0,17,23
19,11,18,18:00,,63,0,16,19
19,11,19,19:00,,63,0,16,17
19,11,20,20:00,,72,0,16,17
19,11,21,21:00,,77,0,15,16
19,11,22,22:00,,68,0,17,17
19,11,23,23:00,,72,0,17,16
20,11,0,00:00,,72,0,17,16
20,11,1,01:00,,72,0,17,16
20,11,2,02:00,,60,0,22,15
20,11,3,03:00,,68,0,19,17
20,11,5,05:00,,50,0,22,17
20,11,6,06:00,,53,0,23,17
20,11,8,08:00,,44,0,25,17
20,11,9,09:00,,44,0,25,22
20,11,10,10:00,,50,0,23,19
20,11,11,11:00,,57,0,22,22
20,11,12,12:00,,60,0,21,23
20,11,13,13:00,,68,0,20,25
20,11,14,14:00,,64,0,21,25
20,11,15,15:00,,68,0,20,23
20,11,16,16:00,,64,0,20,22
20,11,17,17:00,,56,0,19,21
20,11,18,18:00,,52,0,19,20
20,11,19,19:00,,68,0,16,21
20,11,20,20:00,,63,0,17,20
